"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      ,       "CFx"      ,       "CFy"      ,     "Buffet"     ,   "Cauchy[CD]"   
           0,         0.1123652,      -1.854306913,      0.7012082783,    -0.06331355977,   -0.008524789152,      0.7012082783,    -0.06331355977,    0.001753550426,                 1
           1,         0.1176693,       -2.02574207,      0.6086326311,     -0.1229335309,   -0.004882125003,      0.6086326311,     -0.1229335309,    0.001753550426,    0.001521043114
           2,      0.1179200667,      -2.081872737,      0.5935645384,     -0.1794668777,   -0.002962906196,      0.5935645384,     -0.1794668777,    0.001753550426,     0.00177490081
           3,       0.119596175,      -2.216264857,      0.5515371968,     -0.1781091608,   -0.002784207923,      0.5515371968,     -0.1781091608,    0.001753550426,    0.002536904567
           4,        0.12212754,      -2.273611787,      0.4909252613,     -0.1658469305,   -0.004149094734,      0.4909252613,     -0.1658469305,    0.001753550426,    0.003771551474
           5,        0.12290985,      -2.292178296,       0.438482663,     -0.1599169004,   -0.004740162063,       0.438482663,     -0.1599169004,    0.001753550426,    0.004967553112
           6,      0.1225091286,      -2.330651955,      0.4012546367,     -0.1590604966,   -0.004669037839,      0.4012546367,     -0.1590604966,    0.001753550426,    0.005895343668
           7,        0.12204095,      -2.380819769,      0.3730060573,     -0.1600060026,   -0.004492053125,      0.3730060573,     -0.1600060026,    0.002032267662,    0.006652665937
           8,      0.1217581556,      -2.437787835,       0.349915308,     -0.1615778627,   -0.004348907282,       0.349915308,     -0.1615778627,    0.002032267662,    0.007312561314
           9,         0.1216413,      -2.492380173,      0.3307250106,      -0.163374509,     -0.0042171692,      0.3307250106,      -0.163374509,    0.002032267662,    0.007892810665
          10,      0.1213937818,      -2.540379596,      0.3147965109,     -0.1651716708,   -0.004072697437,      0.3147965109,     -0.1651716708,    0.002032267662,    0.008398804193
          11,       0.121312775,      -2.579118179,      0.3014899394,     -0.1668781157,   -0.003911535446,      0.3014899394,     -0.1668781157,    0.002032267662,    0.008840164578
          12,      0.1212948692,      -2.610259617,      0.2902130094,     -0.1684900998,   -0.003736171255,      0.2902130094,     -0.1684900998,    0.002032267662,    0.009228738817
          13,      0.1213054214,      -2.635427876,      0.2804831812,     -0.1699957109,   -0.003551712999,      0.2804831812,     -0.1699957109,    0.002032267662,    0.009575634065
          14,      0.1216723133,      -2.656548893,      0.2719216617,      -0.171347366,   -0.003363874334,      0.2719216617,      -0.171347366,    0.002032267662,     0.00989048649
          15,      0.1216563437,      -2.673744333,      0.2642383856,     -0.1724926264,   -0.003174413351,      0.2642383856,     -0.1724926264,    0.002032267662,     0.01018125712
          16,      0.1215423882,      -2.686002486,      0.2572124841,     -0.1733967379,   -0.002978826853,      0.2572124841,     -0.1733967379,    0.002032267662,     0.01045441266
          17,      0.1214111889,      -2.690217715,      0.2506672011,     -0.1740396091,   -0.002768038726,      0.2506672011,     -0.1740396091,    0.002032267662,     0.01071552711
          18,      0.1213059579,      -2.684030557,      0.2444479591,     -0.1744044572,    -0.00253200405,      0.2444479591,     -0.1744044572,    0.002032267662,     0.01096994699
          19,       0.121307655,      -2.665870647,      0.2384138394,     -0.1744683223,   -0.002259425154,      0.2384138394,     -0.1744683223,    0.001753550426,     0.01122304135
          20,      0.1212378143,      -2.637675286,      0.2324386447,     -0.1742046938,   -0.001940210097,      0.2324386447,     -0.1742046938,    0.001753550426,     0.01148010681
          21,      0.1211026636,      -2.603927455,      0.2264167313,     -0.1735852324,   -0.001566387516,      0.2264167313,     -0.1735852324,    0.001753550426,     0.01174607273
          22,       0.121044387,      -2.569157833,      0.2202662716,     -0.1725800466,   -0.001132569544,      0.2202662716,     -0.1725800466,    0.001753550426,     0.01202530112
          23,       0.120940725,      -2.536543895,      0.2139300398,     -0.1711568563,  -0.0006360732326,      0.2139300398,     -0.1711568563,    0.001753550426,     0.01232148354
          24,       0.121311748,      -2.507526965,      0.2073791038,     -0.1692789215,  -7.862062667e-05,      0.2073791038,     -0.1692789215,    0.001753550426,     0.01263737535
          25,      0.1215127885,      -2.482048229,      0.2006083079,     -0.1669097342,    0.000534503182,      0.2006083079,     -0.1669097342,    0.001753550426,     0.01297488859
          26,      0.1214819333,      -2.459801558,      0.1936345631,     -0.1640086016,    0.001193996633,      0.1936345631,     -0.1640086016,    0.001753550426,     0.01333503838
          27,      0.1214280214,       -2.44058376,      0.1864933641,     -0.1605341906,    0.001888890244,      0.1864933641,     -0.1605341906,    0.001753550426,     0.01371795812
          28,         0.1212856,      -2.424161738,      0.1792311771,     -0.1564485928,    0.002607302075,      0.1792311771,     -0.1564485928,    0.001753550426,     0.01412314359
          29,        0.12127367,      -2.410327151,      0.1719052557,     -0.1517194647,    0.003338249127,      0.1719052557,     -0.1517194647,    0.001753550426,       0.014549304
          30,      0.1212591355,      -2.398855716,      0.1645813617,     -0.1463239159,    0.004074046371,      0.1645813617,     -0.1463239159,    0.001753550426,     0.01499430543
          31,      0.1212272562,      -2.389425533,      0.1573324066,     -0.1402555841,    0.004811403447,      0.1573324066,     -0.1402555841,    0.001753550426,     0.01545504681
          32,      0.1211543667,      -2.381656661,      0.1502348214,     -0.1335307789,    0.005552612816,      0.1502348214,     -0.1335307789,    0.001753550426,     0.01592747958
          33,      0.1211230324,      -2.375234549,       0.143369742,     -0.1261933212,    0.006306567439,       0.143369742,     -0.1261933212,    0.001753550426,     0.01640631697
          34,      0.1210939486,         -2.369778,       0.136817738,     -0.1183206536,    0.007087607337,       0.136817738,     -0.1183206536,    0.001753550426,     0.01688520254
          35,      0.1210934944,      -2.364959533,      0.1306525254,     -0.1100322724,    0.007914857168,      0.1306525254,     -0.1100322724,    0.001753550426,      0.0173570811
